src,denoising,denoising_method,metrics_per_types_GT_K/precision,metrics_per_types_GT_K/recall,metrics_per_types_GT_K/f1,test/micro/precision,test/micro/recall,test/micro/f1,test/macro_example/precision,test/macro_example/recall,test/macro_example/f1
bbn,-1.0,-1,0.2588505031484546,0.266760715932557,0.262746086965627,0.6347087621688843,0.6226190328598022,0.6286057829856873,0.683244526386261,0.6578449010848999,0.6703041791915894
bbn,20.0,TTA,0.24760078262500085,0.24703419227341206,0.24703527180255935,0.6213108499844869,0.6091269850730896,0.6150263349215189,0.6703671216964722,0.6528912782669067,0.6614475846290588
bbn,20.0,TTAR,0.23813237001498536,0.24872788214924357,0.24325669748576165,0.6352240244547526,0.6226190527280172,0.6285510063171387,0.688474436601003,0.6692915161450704,0.6786992351214091
bbn,20.0,TTR,0.25122284964479585,0.25509026770790416,0.2529027737262907,0.6266853014628092,0.6194444497426351,0.6230372190475464,0.6761693557103475,0.6621274948120117,0.6690667271614075
figer,-1.0,-1,0.6476805844541752,0.6537767068454714,0.6507143683053195,0.7132505178451538,0.8202381134033203,0.763012170791626,0.7847437262535095,0.8338069915771484,0.8085317015647888
figer,20.0,TTA,0.6265193269108281,0.6639216932082417,0.6446200225813102,0.69066454966863,0.8281745910644531,0.7529723644256592,0.7700947920481364,0.8509078423182169,0.8082357048988342
figer,20.0,TTAR,0.6394156993489073,0.6534022855939287,0.6460282019252354,0.7339239517847697,0.8202381134033203,0.7746590773264567,0.7976284424463908,0.8456483284632365,0.8209240237871805
figer,20.0,TTR,0.6142874132051612,0.6347087188953101,0.6241462673037331,0.7545270125071207,0.8242063522338867,0.7877915302912394,0.8202101588249207,0.8509867986043295,0.8352869947751363
ontonotes_shimaoka,-1.0,-1,0.2733212975277142,0.3170741552656347,0.2935765142488018,0.6165966391563416,0.6988095045089722,0.6551339626312256,0.6773999929428101,0.7337774038314819,0.7044625282287598
ontonotes_shimaoka,20.0,TTA,0.20981113768812976,0.254020439253913,0.2291659802298808,0.4781322280565898,0.6115079323450724,0.5350448886553446,0.5493388772010803,0.6702486673990885,0.6022373636563619
ontonotes_shimaoka,20.0,TTAR,0.2588179738571246,0.32204278204778225,0.28649001945620145,0.550312320391337,0.692460318406423,0.6127089262008667,0.6187107165654501,0.7413262526194254,0.674008846282959
ontonotes_shimaoka,20.0,TTR,0.2888720213915362,0.33740590482649174,0.3111692465461724,0.61102294921875,0.7031746109326681,0.6528493762016296,0.6732640067736307,0.7470692793528239,0.7078264951705933
